"id","company","street","number","zipcode","city","staff","turnover","other.rev","total.rev","staff.costs","total.costs","profit","vat"
9151681,"Boarbite","De Wierslaan",144,"2490NG","Herkenbosch",9,2803,28.3475,2803,106,2643,160,2668
4499786,"Tuliproductions","Palestrinastraat",38,"2948NT","Kreileroord",15,2876,33,2909,539,2627,282,2758
6955807,"Whiz Softwares","Staalstraat",138,"2866DS","Nieuwersluis",14,2649,98.35,2670.82,221.302,2767.65,22.457,2548
4024454,"Great White Aviation","Hendrik Tollensstraat",167,"2891FF","Hazerswoude-Rijndijk",6,995,4,695.9277,64,170,37,995
2281239,"Ansoft","Papyrusdreef",81,"3271FA","Hollandscheveld",53,9842,42.388,9842,837,10000,-158,9655
4446907,"Joyrover","Adriaan Mulderstraat",166,"3077TZ","Tienray",7,2463,38,2501,87,2347,154,2441
9321842,"Vortexgate","Birkhoven",61,"1725AR","Drachtstercompagnie",18.8470174505093,4445,98,4543,369,4266,277,4412
7301363,"Mermedia","Vivaldiplantsoen",216,"2551BT","Doornspijk",20,3284,11,3295,181,3168,127,3263
5933868,"Accent Entertainment","Prof. Dr. Magnuslaan",124,"2229VV","Miedum",2,814,9.16,814,107,670.00115,68.99208,810
1869499,"Stardustechnologies","Theeweg",168,"3309YC","IJhorst",4.28810914489385,1210,9.06,1210,52,1124,86,1205
3589693,"Pride Brews","Marnixlaan",98,"1128ZT","Zeijerveld",1,343,9.8835,343,41.93872,321.13489,41.81,343
6225999,"Corecords","Passaat",137,"3152BV","Notter",3,952,13.75,952,79,678.64435,149,952
7576087,"Dragonsys","J.M. de Muinck Keizerlaan",139,"1030IM","Oosterend",1,41,9.2035,41,67.12,32,9,41
7088927,"Lucky Coms","Lundlaan",10,"2803RK","Harfsen",60,3633,43.962,3633,257,3626,7,3634
9783714,"Lucenttube","Kapelpad",36,"2783ZN","Steenbergen",8,2906,23.534,2906,144,2556.84,53,2907
3379931,"Mountelligence","Heksenberg",49,"2029UR","Walem",10,2333,6,2339,193,2353,-14,2335
3960616,"Wondershadow","Hof van Amsterdam",9,"3321VG","Idaerd",12,2275,5,2280,222,2302,-22,2277
7012581,"Monarctronics","Poelhekkestraat",229,"1305AV","Brielle",7,1728,12.2335,1728,153,1681,47,1742
8209915,"Tidustries","Patrimoniumstraat",206,"2279AG","Spijk",24,6872,32,6904,485,6444.47,174,6959
4258227,"Mermaidshow","Neude",42,"2259MF","Offingawier",29,3571,76,3647,311,3554,93,3700
1519040,"Timber Acoustics","Ambonstraat",221,"1882CT","Ysbrechtum",11,1021,17.1705,1021,235,472,549,1067
7032763,"Karmarts","Carry van Bruggenstraat",227,"1989BR","Teroele",1,197,9.3635,252.73744,54.56,168,30,221
6966982,"Pink Motors","Havikbrug",48,"2110VM","Borgsweer",7,917,10.35,917,30,781,136,1030
8958717,"Dynamico","Gaag",193,"2274NG","Almkerk",8,2000,18.9735,2000,121.22,1700,300,2271
5018203,"Shadelife","Koekoeksplein",154,"1103EY","Kortenhoef",3,200,10.407,200,49,177,23,251
4017940,"Cloverprises","Alexandre Lecocqsingel",19,"2343RO","Eemnes",4,342,8.3735,342,30,299,43,1068
2451476,"Tucan Systems","Fanny Blankers-Koendreef",232,"3568HU","Monster",6,1389,16.83,1411,179,1215,196,1389
